time_s,torque,deflection
0.23227810859680176,-0.653445317775743,262143.0
0.2864344120025635,-2.634634931602774,262143.0
0.3804812431335449,-5.591169538938179,262143.0
0.476085901260376,-8.875575134484132,262143.0
0.5710532665252686,-11.832936538931865,262143.0
0.6652579307556152,-15.084821448059623,262143.0
0.7610988616943359,-18.020410528549412,262143.0
0.8598155975341797,-21.274867695359966,262143.0
0.9596006870269775,-24.530427258320287,262143.0
1.0602762699127197,-27.796367718357605,262143.0
1.1599550247192383,-31.05771486110422,262143.0
1.2597506046295166,-34.31529548367245,262143.0
1.3597421646118164,-37.569109586062304,262143.0
1.4595098495483398,-40.82016769807774,262143.0
1.5602152347564697,-44.05735399187524,262143.0
1.6599085330963135,-47.30519678178718,262143.0
1.7597339153289795,-50.55441756688633,262143.0
1.8596432209014893,-53.80198475776083,262143.0
1.9596054553985596,-57.05680938995464,262143.0
2.0593037605285645,-60.30281485295029,262143.0
2.1599810123443604,-63.52070921412683,262143.0
2.2599968910217285,-66.75587444831642,262143.0
2.360036849975586,-69.97882145851274,262143.0
2.4601287841796875,-73.23612648204353,262143.0
2.560159921646118,-76.46210508165171,262143.0
2.6594762802124023,-79.7030578956276,262143.0
2.759783983230591,-82.95475907206372,262143.0
2.8601231575012207,-86.18551472165423,262143.0
2.960294008255005,-89.40561387513031,262143.0
3.0595972537994385,-92.66025477463249,262143.0
3.1598832607269287,-95.90175878668326,262143.0
3.259392261505127,-99.12727805456237,262143.0
3.359718084335327,-102.34765280707589,262143.0
3.4601402282714844,-105.56545530190661,262143.0
3.559316635131836,-108.77241756793127,262143.0
3.6600539684295654,-111.99407844928619,262143.0
3.7603230476379395,-115.22667142579299,262143.0
3.859127998352051,-118.45108829752233,262143.0
3.9594364166259766,-121.67348410964377,262143.0
4.060163497924805,-124.88632582180053,262143.0
4.159927606582642,-128.10173979164009,262143.0
4.259439468383789,-131.30594606729034,262143.0
4.36022424697876,-134.51593992272686,262143.0
4.460073709487915,-137.75386114729085,262143.0
4.559405565261841,-140.96578419598947,262143.0
4.659398317337036,-144.19819343980464,262143.0
4.75937294960022,-147.422610311534,262143.0
4.860151052474976,-150.6258060573803,262143.0
4.959342002868652,-153.84774253777263,262143.0
5.059475898742676,-157.08483696522433,262143.0
5.159437656402588,-160.29464708796922,262143.0
5.259295463562012,-163.50528400782645,262143.0
5.359933614730835,-166.73328366704254,262143.0
5.459382057189941,-169.9651417127828,262143.0
5.559452533721924,-173.1904772479703,262143.0
5.6594557762146,-176.41369985720405,262143.0
5.759464502334595,-179.63912725873735,262143.0
5.859618425369263,-182.85849148144692,262143.0
5.959484100341797,-186.0794174320353,262143.0
6.059431552886963,-189.2929022086128,262143.0
6.159546136856079,-192.51373629285538,262143.0
6.259533166885376,-195.7087559339242,262143.0
6.360120534896851,-198.9153507345656,262143.0
6.4594762325286865,-202.13526615535005,262143.0
6.56012225151062,-205.3277135387361,262143.0
6.659433126449585,-208.55139547969893,262143.0
6.759721040725708,-211.73419689677448,262143.0
6.859888792037964,-214.93436105320887,262143.0
6.95966911315918,-218.15583820187217,262143.0
7.059757471084595,-221.34984731313705,262143.0
7.159778833389282,-224.54652054843052,262143.0
7.259632349014282,-227.7521966856138,262143.0
7.359458923339844,-230.93582489980167,262143.0
7.459432601928711,-234.11577846015697,262143.0
7.560054540634155,-237.30262199644835,262143.0
7.659327507019043,-240.50315361826603,262143.0
7.759854316711426,-243.67263441519853,262143.0
7.859984636306763,-246.8561707630406,262143.0
7.960278511047363,-250.05146600314686,262143.0
8.05968952178955,-253.24887416920686,262143.0
8.159919500350952,-256.44563927084613,262143.0
8.260354042053223,-259.6343201340538,262143.0
8.359931945800781,-262.82428712610283,262143.0
8.459906101226807,-266.0155402469933,262143.0
8.560197591781616,-269.2012813871349,262143.0
8.660083532333374,-272.38931918592186,262143.0
8.759515047073364,-275.59471972406766,262143.0
8.86001443862915,-278.760342134476,262143.0
8.95944857597351,-281.93671290734454,262143.0
9.059395790100098,-285.13292681090894,262143.0
9.160099267959595,-288.3170143568259,262143.0
9.26001262664795,-291.52443595457964,262143.0
9.359589576721191,-294.6850057159682,262143.0
9.459706783294678,-297.85108745810555,262143.0
9.559308052062988,-301.0305816867318,262143.0
9.659598350524902,-304.20079741443084,262143.0
9.759375810623169,-307.39554145646224,262143.0
9.860095262527466,-310.5696155706854,262143.0
9.959811925888062,-313.74653754162887,262143.0
10.060007333755493,-316.91840686355255,262143.0
10.160041809082031,-320.10819012290995,262143.0
10.260421752929688,-323.28786808422785,262143.0
10.35941481590271,-326.4556952869357,262143.0
10.459911346435547,-329.6181942415863,262143.0
10.559972524642944,-332.78308172122814,262143.0
10.659145832061768,-335.9571558354513,262143.0
10.759489297866821,-339.0916355546287,262143.0
10.860384464263916,-342.2579010294577,262143.0
10.960200071334839,-345.4228803754453,262143.0
11.060089588165283,-348.57343670514007,262143.0
11.159866333007812,-351.73584379344493,262143.0
11.26030945777893,-354.89512742599203,262143.0
11.36017656326294,-358.058453177755,262143.0
11.459554672241211,-361.2468584419252,262143.0
11.560069799423218,-364.40044636103187,262143.0
11.66026520729065,-367.5484304330439,262143.0
11.759220600128174,-370.69751690120563,262143.0
11.859724283218384,-373.83309901653274,262143.0
11.959271907806396,-376.981450553928,262143.0
12.06019639968872,-380.1389887259047,262143.0
12.160359621047974,-383.29331157577786,262143.0
12.25925874710083,-386.4579234563822,262143.0
12.359477758407593,-389.6111439101056,262143.0
12.45960283279419,-392.77263233495233,262143.0
12.560096025466919,-395.95203469723276,262143.0
12.65938115119934,-399.08954600582194,262143.0
12.75934886932373,-402.2415721970498,262143.0
12.859658241271973,-405.3873514767622,262143.0
12.95930290222168,-408.52173932959374,262143.0
13.060337781906128,-411.6733061890925,262143.0
13.159983158111572,-414.8198203995715,262143.0
13.259449243545532,-417.97809350231466,262143.0
13.360100030899048,-421.13783646659084,262143.0
13.459507703781128,-424.306031134682,262143.0
13.559463024139404,-427.44216444808393,262143.0
13.659433126449585,-430.58013508840224,262143.0
13.75957727432251,-433.73767326037887,262143.0
13.859329462051392,-436.8756439006972,262143.0
13.959891080856323,-440.0429199053301,262143.0
14.05979585647583,-443.20450019652264,262143.0
14.159374713897705,-446.3531273329553,262143.0
14.259554147720337,-449.50248940015456,262143.0
14.359893083572388,-452.63926577797724,262143.0
14.459641695022583,-455.80222406435695,262143.0
14.559604406356812,-458.9651823507366,262143.0
14.659575462341309,-462.0940582228193,262143.0
14.7685866355896,-465.5759764618656,262143.0
14.861602067947388,-468.3954464812463,262143.0
14.965957880020142,-471.84484403387444,262143.0
15.059361219406128,-474.6825954560722,262143.0
15.16358733177185,-477.80752107528485,262143.0
